animal,session,start,duration_s,crosses_midnight,pc_steps_inside,mid_anchor_resid_ms,n_anchors,n_garbage_dropped,n_native_start,n_native_end,start_delay_ms,off_start_ms,n_borrowed,borrowed_from,gap_to_next_s,n_kept,drift_native_ppm,drift_native_sem_ppm,native_residual_ms,tail_extrap_h,tail_extrap_unc_ms,drift_chained_ppm,chain_unc_ppm,chain_span_s,start_vs_prev_ms,end_vs_next_ms,verdict,step_note
SF07,4_20260905_132736.589,2026-09-05 13:27:36.589,4.339,False,,,2,0,2,2,68,81,0,,175.8,,,,,,,,,0.0,,+742,one-end-only,
SF07,5_20260905_133036.709,2026-09-05 13:30:36.709,34.406,False,,,8,0,8,8,0,823,15,next:15,7.4,,,,,,,-321.8,21177.6,70.8,+742,-24,OK-chained,
SF07,6_20260905_133118.469,2026-09-05 13:31:18.469,16135.36,False,,3.85h:+78 3.85h:-51 3.85h:+78 3.85h:-85 3.86h:-101 3.86h:+68 3.86h:-25 3.86h:+67 3.86h:+74 3.86h:+32 3.86h:-105 3.87h:-106 3.87h:-50 3.87h:-37 3.87h:-28,45,0,15,15,0,799,0,,1323.8,44,-23.7,1.3,60.5,,,,,0.0,-24,,OK-native,
SF07,0_20260905_182217.589,2026-09-05 18:22:17.589,11.29,False,,,1684,0,1684,1684,43,,0,,1458.1,,,,,,,,,0.0,,,corrupt,
SF07,1_20260905_184646.993,2026-09-05 18:46:46.993,37.133,False,,,8,0,8,8,1894,359,15,next:15,8.7,,,,,,,-75.4,20440.1,73.4,,-4,OK-chained,
SF07,2_20260905_184732.855,2026-09-05 18:47:32.855,43596.25,True,,0.44h:-1 0.45h:+19 5.57h:+43 5.57h:+29 5.57h:+52 5.57h:+7 5.58h:+28 5.58h:+46 5.58h:+14 5.58h:-24 5.58h:+51 5.58h:+15 5.58h:+33 5.58h:+46 5.59h:+31 5.59h:+33 5.59h:+6 5.59h:+20 5.59h:+35 5.59h:+51 5.59h:+9 5.60h:+27 5.60h:+3 11.25h:+67 11.26h:+79 11.26h:-78,55,0,15,14,2371,355,0,,3559.6,54,-23.5,0.4,51.4,,,,,0.0,-4,+1165,OK-native,
SF07,3_20260906_075328.665,2026-09-06 07:53:28.665,50.79,False,,,11,0,11,11,47,462,15,next:15,7.2,,,,,,,-37.9,17439.3,86.0,+1165,-4,OK-chained,
SF07,4_20260906_075426.615,2026-09-06 07:54:26.615,16613.722,False,,,31,0,15,16,1971,458,0,,3461.3,30,-23.4,1.2,54.1,,,,,0.0,-4,+530,OK-native,
SF07,0_20260906_123827.548,2026-09-06 12:38:27.548,38.707,False,,,0,0,0,0,,,0,,,,,,,,,,,0.0,,,excluded: probe-position TEST on a 64 GB test card from another PC's console during the 09-06 12:31-13:29 advance; anchors are NOT field-PC time; inclusion undecided (operator 09-06),
SF07,1_20260906_123931.995,2026-09-06 12:39:31.995,1282.304,False,,,0,0,0,0,,,0,,,,,,,,,,,0.0,,,excluded: probe-position TEST on a 64 GB test card from another PC's console during the 09-06 12:31-13:29 advance; anchors are NOT field-PC time; inclusion undecided (operator 09-06),
SF07,5_20260906_132901.675,2026-09-06 13:29:01.675,33.318,False,,,8,0,8,8,131,643,14,next:14,7.0,,,,,,,316.5,22087.3,67.9,+530,+21,OK-chained,
SF07,6_20260906_132942.035,2026-09-06 13:29:42.035,19874.458,False,,,28,0,14,14,65,664,0,,1045.0,28,-23.6,1.0,52.7,,,,,0.0,+21,-546,OK-native,
SF07,7_20260906_191821.460,2026-09-06 19:18:21.460,2.432,False,,,2,0,2,2,136,-305,0,,1281.8,,,,,,,,,0.0,,+887,one-end-only,
SF07,8_20260906_193945.691,2026-09-06 19:39:45.691,38.438,False,,,9,0,9,9,1465,582,15,next:15,11.4,,,,,,,1128.0,19413.4,77.3,+887,+97,OK-chained,
SF07,9_20260906_194035.495,2026-09-06 19:40:35.495,44732.25,True,,4.04h:+59 4.05h:-45 4.05h:-141 4.05h:-60 4.05h:-50 4.05h:-78 4.05h:-62 4.05h:-105 4.06h:+29 4.06h:-59 4.06h:-110 4.06h:-26 4.06h:+31 4.06h:-91 4.06h:+23 4.07h:+71 4.07h:-626 11.06h:+65 11.07h:+62 11.07h:+73 11.07h:+43 11.07h:+55 11.07h:+31 11.07h:+48 11.07h:-197 11.08h:-61 11.08h:+67 11.08h:-61 11.08h:+50 11.08h:+67 11.08h:+28 11.08h:-62 11.09h:+67 11.09h:-76 11.09h:-71 11.09h:+17 11.09h:-79 11.09h:-59 11.09h:-73 11.10h:-79 11.10h:-63 11.10h:+69 11.10h:-79 11.10h:-63 11.10h:+74 11.10h:-81 11.10h:-122 12.26h:+67 12.27h:+63 12.27h:-81 12.27h:+43 12.27h:+62 12.27h:+29 12.27h:-69 12.27h:+70 12.27h:+24 12.28h:-89 12.28h:+65 12.28h:+22 12.28h:+48 12.28h:+59,89,0,15,13,1351,679,0,,1377.8,87,-22.3,0.4,66.4,,,,,0.0,+97,+468,OK-native,
SF07,0_20260907_082905.579,2026-09-07 08:29:05.579,4.838,False,,,3,0,3,3,1210,179,0,,1374.0,,,,,,,,,0.0,+468,+716,one-end-only,
SF07,1_20260907_085204.393,2026-09-07 08:52:04.393,35.981,False,,,8,0,8,8,1260,895,16,next:16,7.6,,,,,,,-1256.5,19889.8,75.4,+716,-110,OK-chained,
SF07,2_20260907_085247.979,2026-09-07 08:52:47.979,885.696,False,,,31,0,16,15,2550,785,0,,415.7,30,61.3,21.8,46.9,,,,,0.0,-110,-438,OK-native,
SF07,3_20260907_091429.415,2026-09-07 09:14:29.415,31.053,False,,,7,0,7,7,1639,440,17,next:17,10.9,,,,,,,187.3,20198.3,74.3,-438,+21,OK-chained,
SF07,4_20260907_091511.369,2026-09-07 09:15:11.369,27546.304,False,,4.03h:+90 4.03h:-62 4.04h:-74 4.04h:+90 4.04h:-61 4.04h:+76 4.04h:+35 4.04h:-124 4.04h:+71 4.04h:+92 4.05h:-65 4.05h:+70 4.05h:+87 4.05h:-65 4.05h:+83 7.12h:+56 7.13h:-89 7.13h:+50 7.13h:+66 7.13h:-89 7.13h:-3 7.13h:+67 7.13h:-89 7.13h:-20 7.14h:+66 7.14h:-116 7.14h:+43 7.14h:+60 7.14h:-64,60,0,17,14,2550,460,0,,1033.2,59,-17.9,0.7,61.3,,,,,0.0,+21,+250,OK-native,
SF07,0_20260907_171130.879,2026-09-07 17:11:30.879,6.451,False,,,4,0,4,4,43,206,0,,2138.9,,,,,,,,,0.0,+250,+923,one-end-only,
SF07,1_20260907_174716.243,2026-09-07 17:47:16.243,75.469,False,,,16,0,16,16,50,1129,15,next:15,10.1,,,,,,,-225.7,12947.3,115.9,+923,-24,OK-chained,
SF07,2_20260907_174841.816,2026-09-07 17:48:41.816,45145.574,True,,5.44h:+62 5.44h:-76 5.44h:+47 5.44h:+66 5.44h:-75 5.44h:+43 5.45h:+60 5.45h:-70 5.45h:+40 5.45h:+38 5.45h:+70 5.46h:+67 5.46h:+65 5.46h:+27 5.46h:+42 5.46h:+64 11.28h:+23 11.28h:-78 11.28h:+35 11.29h:+61 11.29h:+71 11.29h:+31 11.29h:+4 11.29h:+14 11.29h:+39 11.29h:+3 11.30h:+22 11.30h:+46 11.30h:+67 11.30h:-1 11.30h:+40 11.30h:+56 11.30h:-83 11.30h:+45 11.31h:+2 11.31h:-165 12.25h:+55 12.26h:-89 12.26h:+39 12.26h:+59 12.26h:-94 12.26h:+35 12.26h:+54 12.26h:-91 12.26h:+45 12.27h:+59 12.27h:-91 12.27h:-25 12.27h:+53 12.27h:-91 12.27h:+58 12.27h:+54 12.28h:-101 12.28h:+45 12.28h:+52 12.28h:-90 12.28h:+43 12.28h:+59 12.28h:-92 12.29h:+33 12.29h:+55 12.29h:-88 12.29h:+37 12.29h:+53 12.29h:-87 12.29h:+41 12.30h:+57,96,0,15,14,0,1105,0,,1483.5,96,-22.9,0.4,63.8,,,,,0.0,-24,+506,OK-native,
SF07,3_20260908_064550.936,2026-09-08 06:45:50.936,5.376,False,,,2,0,2,2,176,522,0,,1715.8,,,,,,,,,0.0,,-269,one-end-only,
SF07,4_20260908_071432.143,2026-09-08 07:14:32.143,31.821,False,,,7,0,7,7,476,254,15,next:15,9.2,,,,,,,313.4,21804.1,68.8,-269,+19,OK-chained,
