animal,logger_mac,session,slot,start_local,end_local,duration_s,duration_hms,firmware,hw,provenance,deglitch_required,commit_risk,measured_verdict,regime,regime_by_window,ticks_per_s,tick_removal_frac,raw_std_median_adc,glitch_samples_per_s,glitch_pct_samples,probe_seconds,probe_windows,noise_uV_median,bad_channel_candidates,fs,n_channels,n_samples,amplifier_gb,rtc_start,rtc_agrees_with_folder,has_info_rhd,time_dat_ok,analogin_ok,sd_capacity_kb,error_code,notes,path
SF7,D0DBEFEF3111,8_20260901_192830.797,8,2026-09-01 19:28:30.797,2026-09-01 19:29:03,32.333,0:00:32,65,12,FM65: maker fix: defects absent on bench; power-cut-safe commit; field data unevaluated,False,"power-cut-safe commit (maker, FM65+)",clean,normal,"normal,normal,normal,normal,normal",0.0,1.0,707.0,0.07,0.0,30.0,5,12.15,,20000,64,646656,0.083,2026-09-01 19:28:30,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\8_20260901_192830.797
SF7,D0DBEFEF3111,9_20260901_192912.215,9,2026-09-01 19:29:12.215,2026-09-01 23:43:19,15247.13,4:14:07,65,12,FM65: maker fix: defects absent on bench; power-cut-safe commit; field data unevaluated,False,"power-cut-safe commit (maker, FM65+)",clean,normal,"normal,normal,normal,normal,normal",0.0,1.0,749.0,1.4,0.0001,30.0,5,13.15,,20000,64,304942592,39.033,2026-09-01 19:29:12,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\9_20260901_192912.215
SF7,D0DBEFEF3111,10_20260901_234332.691,10,2026-09-01 23:43:32.691,2026-09-02 06:22:33,23940.48,6:39:00,65,12,FM65: maker fix: defects absent on bench; power-cut-safe commit; field data unevaluated,False,"power-cut-safe commit (maker, FM65+)",clean,normal,"normal,normal,normal,normal,normal",0.03,1.0,1162.0,2.43,0.0002,30.0,5,10.25,,20000,64,478809600,61.288,2026-09-01 23:43:32,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\10_20260901_234332.691
SF7,D0DBEFEF3111,11_20260902_062241.295,11,2026-09-02 06:22:41.295,2026-09-02 07:33:57,4276.006,1:11:16,65,12,FM65: maker fix: defects absent on bench; power-cut-safe commit; field data unevaluated,False,"power-cut-safe commit (maker, FM65+)",clean,normal,"normal,normal,normal,normal,normal",0.0,1.0,1325.0,1.83,0.0001,30.0,5,8.33,,20000,64,85520128,10.947,2026-09-02 06:22:41,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\11_20260902_062241.295
SF7,D0DBEFEF3111,12_20260902_074608.443,12,2026-09-02 07:46:08.443,2026-09-02 07:46:15,7.168,0:00:07,65,12,FM65: maker fix: defects absent on bench; power-cut-safe commit; field data unevaluated,False,"power-cut-safe commit (maker, FM65+)",clean,normal,normal,0.0,1.0,609.0,0.28,0.0,7.17,1,13.79,,20000,64,143360,0.018,2026-09-02 07:46:08,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\12_20260902_074608.443
SF7,D0DBEFEF3111,13_20260902_082234.535,13,2026-09-02 08:22:34.535,2026-09-02 08:23:06,32.128,0:00:32,65,12,FM65: maker fix: defects absent on bench; power-cut-safe commit; field data unevaluated,False,"power-cut-safe commit (maker, FM65+)",clean,normal,"normal,normal,normal,normal,normal",0.0,1.0,742.0,0.17,0.0,30.0,5,12.8,,20000,64,642560,0.082,2026-09-02 08:22:34,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\13_20260902_082234.535
SF7,D0DBEFEF3111,14_20260902_082315.755,14,2026-09-02 08:23:15.755,2026-09-02 08:24:06,50.97,0:00:51,65,12,FM65: maker fix: defects absent on bench; power-cut-safe commit; field data unevaluated,False,"power-cut-safe commit (maker, FM65+)",clean,normal,"normal,normal,normal,normal,normal",0.0,1.0,653.0,0.07,0.0,30.0,5,9.69,,20000,64,1019392,0.13,2026-09-02 08:23:15,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\14_20260902_082315.755
SF7,D0DBEFEF3111,15_20260902_082418.755,15,2026-09-02 08:24:18.755,2026-09-02 16:55:03,30644.557,8:30:45,65,12,FM65: maker fix: defects absent on bench; power-cut-safe commit; field data unevaluated,False,"power-cut-safe commit (maker, FM65+)",clean,normal,"normal,normal,normal,normal,normal",0.0,1.0,1200.0,0.43,0.0,30.0,5,8.89,,20000,64,612891136,78.45,2026-09-02 08:24:18,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\15_20260902_082418.755
SF7,D0DBEFEF3111,16_20260902_165524.033,16,2026-09-02 16:55:24.033,2026-09-02 18:12:49,4645.709,1:17:26,65,12,FM65: maker fix: defects absent on bench; power-cut-safe commit; field data unevaluated,False,"power-cut-safe commit (maker, FM65+)",clean,normal,"normal,normal,normal,normal,normal",0.07,1.0,1001.0,1.8,0.0001,30.0,5,8.94,,20000,64,92914176,11.893,2026-09-02 16:55:24,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\16_20260902_165524.033
SF8,128C2F27E131,0_20260831_070148.859,0,2026-08-31 07:01:48.859,2026-08-31 07:12:27,638.822,0:10:39,62,12,FM62: stop-only commit (session exists only after a clean Record Stop) + glitch defects A/B,True,stop-only commit (session exists only after a clean Record Stop),glitchy+broadband,broadband,"broadband,wide-impulse,wide-impulse,wide-impulse,normal",34988.23,0.183,5178.0,10118.47,0.7905,30.0,5,12.9,,20000,64,12776448,1.635,2026-08-31 07:01:48,True,True,True,True,1000144896,0,BROADBAND noise blow-up (raw std > 2500 ADC): hardware/handling regime; QC before use,E:\3rd_rat_spikes\SF8\128C2F27E131\0_20260831_070148.859
SF8,128C2F27E131,1_20260831_071239.713,1,2026-08-31 07:12:39.713,2026-08-31 07:15:31,172.25,0:02:52,62,12,FM62: stop-only commit (session exists only after a clean Record Stop) + glitch defects A/B,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",2012.73,1.0,1395.0,5447.7,0.4256,30.0,5,8.49,32,20000,64,3444992,0.441,2026-08-31 07:12:39,True,True,True,True,1000144896,0,,E:\3rd_rat_spikes\SF8\128C2F27E131\1_20260831_071239.713
SF8,128C2F27E131,2_20260831_071541.642,2,2026-08-31 07:15:41.642,2026-08-31 08:30:55,4513.882,1:15:14,62,12,FM62: stop-only commit (session exists only after a clean Record Stop) + glitch defects A/B,True,stop-only commit (session exists only after a clean Record Stop),glitchy+broadband,broadband,"wide-impulse,broadband,broadband,broadband,broadband",15120.33,0.399,3685.0,6856.3,0.5356,30.0,5,14.32,32 52 53 61,20000,64,90277632,11.556,2026-08-31 07:15:41,True,True,True,True,1000144896,0,BROADBAND noise blow-up (raw std > 2500 ADC): hardware/handling regime; QC before use,E:\3rd_rat_spikes\SF8\128C2F27E131\2_20260831_071541.642
SF8,128C2F27E131,3_20260831_083101.996,3,2026-08-31 08:31:01.996,2026-08-31 08:31:07,5.146,0:00:05,62,12,FM62: stop-only commit (session exists only after a clean Record Stop) + glitch defects A/B,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,normal,1233.48,1.0,1379.0,3090.02,0.2414,5.15,1,8.45,32,20000,64,102912,0.013,2026-08-31 08:31:01,True,True,True,True,1000144896,0,,E:\3rd_rat_spikes\SF8\128C2F27E131\3_20260831_083101.996
SF8,128C2F27E131,4_20260831_083120.285,4,2026-08-31 08:31:20.285,2026-08-31 11:26:32,10511.923,2:55:12,62,12,FM62: stop-only commit (session exists only after a clean Record Stop) + glitch defects A/B,True,stop-only commit (session exists only after a clean Record Stop),glitchy+wide-impulse,wide-impulse,"normal,normal,normal,wide-impulse,normal",6051.8,0.406,2158.0,6446.67,0.5036,30.0,5,8.57,32,20000,64,210238464,26.911,2026-08-31 08:31:20,True,True,True,True,1000144896,0,WIDE (>=3-sample) impulses dominate: not the FM62/64 single-sample defect; de-glitch will NOT clean this; QC before use,E:\3rd_rat_spikes\SF8\128C2F27E131\4_20260831_083120.285
